name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
fabric-baseimage,Cleanshooter,https://github.com/hyperledger/fabric-baseimage/pull/2,https://api.github.com/repos/hyperledger/fabric-baseimage/issues/2,Set different version of armv7l,The build doesn't work in yakketty the latest version of the armv7l image.,closed,True,2018-03-07 19:27:41,2018-03-18 03:56:53
fabric-baseimage,jkilpatr,https://github.com/hyperledger/fabric-baseimage/pull/1,https://api.github.com/repos/hyperledger/fabric-baseimage/issues/1,centos7 docker baseimage,,closed,True,2016-12-09 14:07:37,2016-12-09 14:07:49
