"Workspace","Channel","Id","Sender","text","time","mention"
"hyperledger","iroha","U2JD3UMEU","vu3mmg","could you pls  explain whether iroha is a client for hyperledger or a ledger itself","2016-11-09 00:55:34",""
"hyperledger","iroha","U2JD3UMEU","vu3mmg","<@U2JD3UMEU|vu3mmg> has joined the channel","2016-11-09 00:49:35",", U2JD3UMEU|vu3mmg>"
"hyperledger","iroha","U26PBUZRT","kiko3333","Hello, how can I get more information about how smart contract is managed ? thanks","2017-01-26 13:04:17",""
"hyperledger","iroha","U26PBUZRT","kiko3333","<@U26PBUZRT|kiko3333> has joined the channel","2016-11-09 16:16:27",", U26PBUZRT|kiko3333>"
"hyperledger","iroha","U1D89DP47","subzer0","<@U1D89DP47|subzer0> has joined the channel","2016-11-12 20:18:22",", U1D89DP47|subzer0>"
"hyperledger","iroha","U37H9BCRL","kindus","<@U37H9BCRL|kindus> has joined the channel","2016-11-24 22:13:18",", U37H9BCRL|kindus>"
"hyperledger","iroha","U24M29R4G","nikileshsa","<@U24M29R4G|nikileshsa> has joined the channel","2016-11-28 23:46:55",", U24M29R4G|nikileshsa>"
"hyperledger","iroha","U11CP8FF1","ibmamnt","<@U11CP8FF1|ibmamnt> has joined the channel","2016-11-29 05:44:12",", U11CP8FF1|ibmamnt>"
"hyperledger","iroha","U0MS9352A","rehmke","<@U0MS9352A|rehmke> has joined the channel","2016-12-05 20:18:32",", U0MS9352A|rehmke>"
"hyperledger","iroha","U1XL70KHB","gemsiva","<@U1XL70KHB|gemsiva> has joined the channel","2016-12-05 21:06:17",", U1XL70KHB|gemsiva>"
"hyperledger","iroha","U3ADJU5MZ","kansi","can someone point me to some resources","2016-12-09 12:40:50",""
"hyperledger","iroha","U3ADJU5MZ","kansi","<@U3ADJU5MZ|kansi> has joined the channel","2016-12-06 09:57:01",", U3ADJU5MZ|kansi>"
"hyperledger","iroha","U3ADJU5MZ","kansi","Hi, i am trying out iroha but I cannot find much docs on the how to perform transactions or smart contracts","2016-12-09 12:40:39",""
"hyperledger","iroha","U327VGGF9","yuwei","<@U327VGGF9|yuwei> has joined the channel","2016-12-10 14:16:20",", U327VGGF9|yuwei>"
"hyperledger","iroha","U0KM3Q4FL","stan.liberman","<@U0KM3Q4FL|stan.liberman> has joined the channel","2016-12-12 18:16:13",", U0KM3Q4FL|stan.liberman>"
"hyperledger","iroha","U0ULX737C","vipinb","<@U0ULX737C|vipinb> has joined the channel","2016-12-19 11:27:07",", U0ULX737C|vipinb>"
"hyperledger","iroha","U1YC7CQ4E","branciard","Hi, I only ""docker stop"" 2 peers after running the 4 peers with run-iroha-build.sh , i didn't change sumeragi.json. I add more logs in getNumValidSignatures method of sumeragi consensus. It seams that in the 3 valids signatures found, 2 come from the first peer. i will investigate deeper tomorrow. here logs of the peer4 still alive and the peer1 : <https://github.com/branciard/iroha/commit/67f144261362c0333633b9b3973641ef1d743c2b>     .We see that the peer1 send three requests but only receive one response:OK but register account is done at the end.","2016-12-28 00:22:55",""
