Sender,channel,text,url_html
shadoi,kops-users,there's a work-around for that in this issue: <https://github.com/kubernetes/kops/issues/4049>,https://github.com/kubernetes/kops/issues/4049
chrislovecnm,kops-users,<@U3M10EJKC> can you add more details to <https://github.com/kubernetes/kops/issues/4188>,https://github.com/kubernetes/kops/issues/4188
kruczjak,kops-users,<https://github.com/kubernetes/kops/issues/3575>,https://github.com/kubernetes/kops/issues/3575
christopher376,kops-users,<https://github.com/kubernetes/kops/issues/1718>,https://github.com/kubernetes/kops/issues/1718
chrislovecnm,kops-users,also read this <https://github.com/kubernetes/kops/issues/3612>,https://github.com/kubernetes/kops/issues/3612
