Sender,channel,repository,url_html
carlos.panato,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/1906
k317h,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43504
maciaszczykm,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/1703
roffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57321
researchiteng,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
tombar,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5998
jolestar,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55314
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/issues/887
ncdc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/50037
vishh,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53497
mauilion,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54039
ixdy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56516
heckj,minikube,website,https://github.com/kubernetes/website/issues/5952
3dinfluence,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/37414
ravig,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49384
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57559
quinton_hoole,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44160
maciekpytel,minikube,autoscaler,https://github.com/kubernetes/autoscaler/issues/252
alaind,minikube,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1405
kowens,minikube,community,https://github.com/kubernetes/community/issues/458
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56412
rphillips,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/26202
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/51899
tomasz.majchrowski,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54665
cynthia.sacramento,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/42594
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56022
bentheelder,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57342
maciekpytel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54637
guslees,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/503
spiffxp,minikube,community,https://github.com/kubernetes/community/issues/1511
laurentdumont,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/82
seblegall,minikube,client-go,https://github.com/kubernetes/client-go/issues/216
slack1539,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56304
jpbetz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57822
gsmith,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/35156
ieugen,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/564
tomciaaa,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/23013
garethr,minikube,community,https://github.com/kubernetes/community/issues/841
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55194
tb15,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/484
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57910
wizard,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57933
smana,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/23
spiffxp,minikube,community,https://github.com/kubernetes/community/issues/1527
ichekrygin,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/23008
dineshgovindasamy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55031
fish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55397
rajatjindal83,minikube,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics/issues/332
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56414
erik.oshaughnessy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/51179
quinton_hoole,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52643
jennybuckley,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57030
thermi,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53430
seh,minikube,dns,https://github.com/kubernetes/dns/issues/174
pipejakob,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/103
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56244
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56052
daneyon,minikube,sig-release,https://github.com/kubernetes/sig-release/issues/38
justaugustus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43287
ieugen,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57280
patricklang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56902
brancz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55489
rjmorse,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49398
random-liu,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52032
jessicaochen,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/505
chen-li,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/22680
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47787
shadycuz,minikube,heapster,https://github.com/kubernetes/heapster/issues/1908
igorc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/46826
zhangxiaoyu-zidif,minikube,website,https://github.com/kubernetes/website/issues/6141
mdietze,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
chaosaffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/341
wenlxie,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57692
caesarxuchao,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49956
tianshapjq,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54381
pwittrock,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/73
shadoi,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/964
pires,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55117
sdlarsen,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57382
vishh,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55080
zcorleissen,minikube,website,https://github.com/kubernetes/website/issues/6158
smana,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/374
thomas115,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/52336
maciekpytel,minikube,autoscaler,https://github.com/kubernetes/autoscaler/issues/252
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/51433
mlbiam,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/964
gustavoatt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56261
frodenas,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/91
artmr,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55326
jell,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54424
fejta,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5848
typositoire,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/32839
shiywang,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/83
ichekrygin,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54448
sefmutari1,minikube,autoscaler,https://github.com/kubernetes/autoscaler/issues/144
frobware,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
andrew.jefferson,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56573
tamal,minikube,client-go,https://github.com/kubernetes/client-go/issues/297
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56022
chrislovecnm,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/1906
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55189
feisky,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/56898
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/44202
carlos.panato,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5283
roffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54476
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/3481
rowleyaj,minikube,website,https://github.com/kubernetes/website/issues/5930
jake.livewyer,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54370
sokoow,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55867
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5985
clewis,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53670
4nishantkumar,minikube,kops,https://github.com/kubernetes/kops/issues/2881
