Sender,channel,repository,url_html,is merged
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/32408,False
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51026,False
strebeld,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51026,False
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/728,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
shadoi,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
qiming,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55138,False
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55921,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47796,True
quinton_hoole,minikube,community,https://github.com/kubernetes/community/pull/437,False
shahidhk,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/36819,False
guslees,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54420,True
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56068,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5992,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56918,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/837,True
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57407,True
misterikkit,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57852,True
ixdy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55018,True
maciaszczykm,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53046,True
jorge,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57251,False
dineshgovindasamy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51063,True
bryk,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53046,True
liggitt,minikube,community,https://github.com/kubernetes/community/pull/1503,True
caoshufeng,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45948,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/787,True
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5047,True
fabianofranz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47267,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6019,True
perotinus,minikube,k8s.io,https://github.com/kubernetes/k8s.io/pull/98,True
jvallejo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48763,True
xhu,minikube,community,https://github.com/kubernetes/community/pull/1485,False
colemickens,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56918,True
resouer,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/49093,False
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
jdumars,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57557,True
mengqiy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46161,False
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52616,False
dims,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5986,True
sszuecs,minikube,kops,https://github.com/kubernetes/kops/pull/3983,True
humblec,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46028,True
msau42,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55039,True
fejta,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5974,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52616,False
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47181,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55382,True
suyogbarve,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45285,True
jiayingz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52149,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53816,True
topol,minikube,website,https://github.com/kubernetes/website/pull/6590,True
chaosaffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/18261,True
bowei,minikube,community,https://github.com/kubernetes/community/pull/1276,True
steveperry-53,minikube,website,https://github.com/kubernetes/website/pull/6472,True
paris,minikube,community,https://github.com/kubernetes/community/pull/1517,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/837,True
surajd,minikube,kompose,https://github.com/kubernetes/kompose/pull/739,True
cmluciano,minikube,release,https://github.com/kubernetes/release/pull/446,False
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56284,False
perotinus,minikube,community,https://github.com/kubernetes/community/pull/1324,True
luxas,minikube,website,https://github.com/kubernetes/website/pull/6663,True
caoshufeng,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45582,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/626,True
mauilion,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53324,False
qiming,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55680,False
perotinus,minikube,k8s.io,https://github.com/kubernetes/k8s.io/pull/84,True
brancz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56206,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54336,True
kiranmova,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
jorge,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57251,False
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57146,False
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52616,False
gsmith,minikube,kubectl,https://github.com/kubernetes/kubectl/pull/149,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5348,True
heckj,minikube,website,https://github.com/kubernetes/website/pull/5081,True
perotinus,minikube,community,https://github.com/kubernetes/community/pull/1325,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56659,False
spzala,minikube,website,https://github.com/kubernetes/website/pull/6648,True
niq_,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55730,True
caoshufeng,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51399,False
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/787,True
pmorie,minikube,federation,https://github.com/kubernetes/federation/pull/182,True
dbhanushali,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54727,True
zachpuck,minikube,website,https://github.com/kubernetes/website/pull/6595,True
rjmorse,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/50396,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/731,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55735,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52747,True
jvallejo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/38445,True
ivangelarry,minikube,website,https://github.com/kubernetes/website/pull/6588,True
heckj,minikube,website,https://github.com/kubernetes/website/pull/6103,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52616,False
cblecker,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56130,True
mkumatag,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53598,False
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57174,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/651,True
idvoretskyi,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/55,False
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
jorge,minikube,community,https://github.com/kubernetes/community/pull/1409,True
pwittrock,minikube,community,https://github.com/kubernetes/community/pull/649,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
mhausenblas,minikube,community,https://github.com/kubernetes/community/pull/338,True
roberthbailey,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53273,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/707,True
zcorleissen,minikube,website,https://github.com/kubernetes/website/pull/6103,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52616,False
shyamjvs,minikube,community,https://github.com/kubernetes/community/pull/794,True
colemickens,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54177,True
erwbgy,minikube,website,https://github.com/kubernetes/website/pull/6583,True
brancz,minikube,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics/pull/272,True
artmr,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46114,True
mtanino,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56454,True
lpabon,minikube,website,https://github.com/kubernetes/website/pull/6504,True
tkral,minikube,kompose,https://github.com/kubernetes/kompose/pull/846,True
leosunmo,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
qiming,minikube,community,https://github.com/kubernetes/community/pull/1447,False
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52612,False
luxas,minikube,release,https://github.com/kubernetes/release/pull/489,False
mbohlool,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57774,True
enisoc,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/49,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57463,True
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54833,False
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
superbrothers,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48267,True
radhikapc,minikube,website,https://github.com/kubernetes/website/pull/6574,True
spzala,minikube,website,https://github.com/kubernetes/website/pull/6581,False
ravig,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46514,True
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/53,True
szymon.scharmach,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52709,False
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/714,True
caoshufeng,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51401,True
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55546,True
sean527,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54900,False
jpbetz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57480,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/846,True
chandanm,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48432,True
spzala,minikube,website,https://github.com/kubernetes/website/pull/6573,True
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53730,True
brancz,minikube,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics/pull/302,False
fabianofranz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47151,False
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57805,True
sean527,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54900,False
jdumars,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57484,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56529,True
tpepper,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56512,True
lichuqiang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51895,False
ixdy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56094,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55692,True
nikhita,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55168,True
cblecker,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6003,True
tanshanshan,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54379,True
heckj,minikube,website,https://github.com/kubernetes/website/pull/4546,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/799,True
apelisse,minikube,kubectl,https://github.com/kubernetes/kubectl/pull/129,True
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6067,True
jmesser81,minikube,website,https://github.com/kubernetes/website/pull/6180,True
mikedanese,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56444,True
resouer,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47275,False
jell,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56115,True
topol,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52863,True
cblecker,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57735,True
fabianofranz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47267,True
rjmorse,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51063,True
ivan4th,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45920,False
kokhang,minikube,contrib,https://github.com/kubernetes/contrib/pull/1343,False
cape,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45523,True
qiming,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55310,False
ellenkorbes,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54572,True
porridge,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57407,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53310,False
gnufied,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/41906,True
hari.sanker,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
lichuqiang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55874,False
dims,minikube,release,https://github.com/kubernetes/release/pull/446,False
anupn,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54833,False
mmichael,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56529,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54030,True
cxing,minikube,community,https://github.com/kubernetes/community/pull/1105,False
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/63,True
heckj,minikube,website,https://github.com/kubernetes/website/pull/6040,True
mkumatag,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/45074,False
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/6052,True
tcharding,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51242,False
maciaszczykm,minikube,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52501,True
gakki,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51314,False
connor,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55103,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/50603,True
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56535,True
