Sender,channel,text,url_html
ntfrnzn,minikube,If everything in minikube is expected to be ephemeral (see also <https://github.com/kubernetes/minikube/issues/1378>) I can deal with it :disappointed:,https://github.com/kubernetes/minikube/issues/1378
mrick,minikube,<https://github.com/kubernetes/minikube/issues/1408>,https://github.com/kubernetes/minikube/issues/1408
ntfrnzn,minikube,"<@U0ED3J9G8> re <https://github.com/kubernetes/minikube/issues/1926>, do you know if there's a way to recover an existing stopped minikube when seeing  ""Error starting stopped host: IP address never found"" ?  I want to avoid deleting my current minikube since it's got some configuration in it right now &amp; and cost time to recreate.",https://github.com/kubernetes/minikube/issues/1926
andreas_kubernetes,minikube,<@U73ADUGRW> i came across this a couple of days ago <https://github.com/kubernetes/minikube/issues/2302>,https://github.com/kubernetes/minikube/issues/2302
