Sender,channel,repository,url_html,is merged
sttts,kubernetes-users,k8s.io,https://github.com/kubernetes/k8s.io/pull/94,True
cblecker,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6003,True
ntfrnzn,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/pull/414,True
marun,kubernetes-users,federation,https://github.com/kubernetes/federation/pull/158,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6062,True
leosunmo,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5435,True
ianlewis,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
jorge,kubernetes-users,community,https://github.com/kubernetes/community/pull/1509,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/626,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5992,True
perotinus,kubernetes-users,cluster-registry,https://github.com/kubernetes/cluster-registry/pull/144,True
tpepper,kubernetes-users,community,https://github.com/kubernetes/community/pull/1496,True
liggitt,kubernetes-users,community,https://github.com/kubernetes/community/pull/1503,True
pmorie,kubernetes-users,federation,https://github.com/kubernetes/federation/pull/182,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/759,True
spiffxp,kubernetes-users,sig-release,https://github.com/kubernetes/sig-release/pull/52,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/665,True
hari.sanker,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
surajd,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/739,True
jorge,kubernetes-users,community,https://github.com/kubernetes/community/pull/1461,True
fejta,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5974,True
jmesser81,kubernetes-users,website,https://github.com/kubernetes/website/pull/6180,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6019,True
marun,kubernetes-users,federation,https://github.com/kubernetes/federation/pull/157,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5989,True
jorge,kubernetes-users,community,https://github.com/kubernetes/community/pull/1409,True
rahul890,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/2632,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6063,True
negz,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/pull/462,True
cblecker,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5970,True
steveperry-53,kubernetes-users,website,https://github.com/kubernetes/website/pull/6366,True
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6067,True
shyamjvs,kubernetes-users,community,https://github.com/kubernetes/community/pull/794,True
dims,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5986,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/869,False
sttts,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/4134,False
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/714,True
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6052,True
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5047,True
qiming,kubernetes-users,community,https://github.com/kubernetes/community/pull/1447,False
cblecker,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6003,True
hari.sanker,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
