Sender,channel,repository,url_html,is merged
perotinus,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1324,True
chrislovecnm,kubernetes-novice,kops,https://github.com/kubernetes/kops/pull/4185,False
obristow,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/896,True
perotinus,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1325,True
perotinus,kubernetes-novice,cluster-registry,https://github.com/kubernetes/cluster-registry/pull/144,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6167,True
ianlewis,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
micahhausler,kubernetes-novice,website,https://github.com/kubernetes/website/pull/6692,True
marun,kubernetes-novice,federation,https://github.com/kubernetes/federation/pull/158,True
micahhausler,kubernetes-novice,website,https://github.com/kubernetes/website/pull/6692,True
luxas,kubernetes-novice,community,https://github.com/kubernetes/community/pull/911,True
cblecker,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1381,False
spiffxp,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1533,True
chrislovecnm,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1432,False
marun,kubernetes-novice,federation,https://github.com/kubernetes/federation/pull/157,True
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6067,True
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/665,True
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6031,True
shyamjvs,kubernetes-novice,community,https://github.com/kubernetes/community/pull/794,True
spiffxp,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1498,True
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5804,True
leosunmo,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/837,True
tpepper,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1496,True
spiffxp,kubernetes-novice,sig-release,https://github.com/kubernetes/sig-release/pull/52,True
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/837,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5656,True
resouer,kubernetes-novice,community,https://github.com/kubernetes/community/pull/985,True
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/704,True
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/728,True
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/714,True
qiming,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1447,False
fejta,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6141,True
spiffxp,kubernetes-novice,contrib,https://github.com/kubernetes/contrib/pull/2701,False
sttts,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/4134,False
patricklang,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1544,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5992,True
kruczjak,kubernetes-novice,kops,https://github.com/kubernetes/kops/pull/3944,True
ericchiang,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1503,True
jaypipes,kubernetes-novice,community,https://github.com/kubernetes/community/pull/782,False
surajd,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/739,True
perotinus,kubernetes-novice,k8s.io,https://github.com/kubernetes/k8s.io/pull/98,True
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/868,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6019,True
ixdy,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6021,True
jorge,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1461,True
